year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2015	11980	646	South Ala.	09/06/2014	@ Kent St.	331	Kent St.	http://stats.ncaa.org/team/index/11980?org_id=331	false		false	W 23 - 13	true	23 - 13	23	13	false		south-ala-kent-st#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/06/south-ala-kent-st#boxscore
2015	11980	646	South Ala.	09/13/2014	Mississippi St.	430	Mississippi St.	http://stats.ncaa.org/team/index/11980?org_id=430	false		true	L 3 - 35	false	3 - 35	3	35	false		mississippi-st-south-ala#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/13/mississippi-st-south-ala#boxscore
2015	11980	646	South Ala.	09/20/2014	Ga. Southern	253	Ga. Southern	http://stats.ncaa.org/team/index/11980?org_id=253	false		true	L 6 - 28	false	6 - 28	6	28	false		ga-southern-south-ala#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/20/ga-southern-south-ala#boxscore
2015	11980	646	South Ala.	09/27/2014	@ Idaho	295	Idaho	http://stats.ncaa.org/team/index/11980?org_id=295	false		false	W 34 - 10	true	34 - 10	34	10	false		south-ala-idaho#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/27/south-ala-idaho#boxscore
2015	11980	646	South Ala.	10/04/2014	@ Appalachian St.	27	Appalachian St.	http://stats.ncaa.org/team/index/11980?org_id=27	false		false	W 47 - 21	true	47 - 21	47	21	false		south-ala-appalachian-st#boxscore	http://www.ncaa.com/game/football/fbs/2014/10/04/south-ala-appalachian-st#boxscore
2015	11980	646	South Ala.	10/18/2014	Georgia St.	254	Georgia St.	http://stats.ncaa.org/team/index/11980?org_id=254	false		true	W 30 - 27	true	30 - 27	30	27	false		georgia-st-south-ala#boxscore	http://www.ncaa.com/game/football/fbs/2014/10/18/georgia-st-south-ala#boxscore
2015	11980	646	South Ala.	10/24/2014	Troy	716	Troy	http://stats.ncaa.org/team/index/11980?org_id=716	false		true	W 27 - 13	true	27 - 13	27	13	false		troy-south-ala#boxscore	http://www.ncaa.com/game/football/fbs/2014/10/24/troy-south-ala#boxscore
2015	11980	646	South Ala.	11/01/2014	@ La.-Lafayette	671	La.-Lafayette	http://stats.ncaa.org/team/index/11980?org_id=671	false		false	L 9 - 19	false	9 - 19	9	19	false		south-ala-la-lafayette#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/01/south-ala-la-lafayette#boxscore
2015	11980	646	South Ala.	11/08/2014	@ Arkansas St.	30	Arkansas St.	http://stats.ncaa.org/team/index/11980?org_id=30	false		false	L 10 - 45	false	10 - 45	10	45	false		south-ala-arkansas-st#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/08/south-ala-arkansas-st#boxscore
2015	11980	646	South Ala.	11/15/2014	Texas St.	670	Texas St.	http://stats.ncaa.org/team/index/11980?org_id=670	false		true	W 24 - 20	true	24 - 20	24	20	false		texas-st-south-ala#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/15/texas-st-south-ala#boxscore
2015	11980	646	South Ala.	11/22/2014	@ South Carolina	648	South Carolina	http://stats.ncaa.org/team/index/11980?org_id=648	false		false	L 12 - 37	false	12 - 37	12	37	false		south-ala-south-carolina#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/22/south-ala-south-carolina#boxscore
2015	11980	646	South Ala.	11/28/2014	Navy	726	Navy	http://stats.ncaa.org/team/index/11980?org_id=726	false		true	L 40 - 42	false	40 - 42	40	42	false		navy-south-ala#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/28/navy-south-ala#boxscore
2015	11980	646	South Ala.	12/20/2014	Bowling Green @ Montgomery, Ala.	71	Bowling Green	http://stats.ncaa.org/team/index/11980?org_id=71	true	Montgomery, Ala.	true	L 28 - 33	false	28 - 33	28	33	false		south-ala-bowling-green#boxscore	http://www.ncaa.com/game/football/fbs/2014/12/20/south-ala-bowling-green#boxscore
2015	11980	721	Air Force	08/30/2014	Nicholls St.	483	Nicholls St.	http://stats.ncaa.org/team/index/11980?org_id=483	false		true	W 44 - 16	true	44 - 16	44	16	false		nicholls-st-air-force#boxscore	http://www.ncaa.com/game/football/fbs/2014/08/30/nicholls-st-air-force#boxscore
2015	11980	721	Air Force	09/06/2014	@ Wyoming	811	Wyoming	http://stats.ncaa.org/team/index/11980?org_id=811	false		false	L 13 - 17	false	13 - 17	13	17	false		air-force-wyoming#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/06/air-force-wyoming#boxscore
2015	11980	721	Air Force	09/13/2014	@ Georgia St.	254	Georgia St.	http://stats.ncaa.org/team/index/11980?org_id=254	false		false	W 48 - 38	true	48 - 38	48	38	false		air-force-georgia-st#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/13/air-force-georgia-st#boxscore
2015	11980	721	Air Force	09/27/2014	Boise St.	66	Boise St.	http://stats.ncaa.org/team/index/11980?org_id=66	false		true	W 28 - 14	true	28 - 14	28	14	false		boise-st-air-force#boxscore	http://www.ncaa.com/game/football/fbs/2014/09/27/boise-st-air-force#boxscore
2015	11980	721	Air Force	10/04/2014	Navy	726	Navy	http://stats.ncaa.org/team/index/11980?org_id=726	false		true	W 30 - 21	true	30 - 21	30	21	false		navy-air-force#boxscore	http://www.ncaa.com/game/football/fbs/2014/10/04/navy-air-force#boxscore
2015	11980	721	Air Force	10/11/2014	@ Utah St.	731	Utah St.	http://stats.ncaa.org/team/index/11980?org_id=731	false		false	L 16 - 34	false	16 - 34	16	34	false		air-force-utah-st#boxscore	http://www.ncaa.com/game/football/fbs/2014/10/11/air-force-utah-st#boxscore
2015	11980	721	Air Force	10/18/2014	New Mexico	473	New Mexico	http://stats.ncaa.org/team/index/11980?org_id=473	false		true	W 35 - 31	true	35 - 31	35	31	false		new-mexico-air-force#boxscore	http://www.ncaa.com/game/football/fbs/2014/10/18/new-mexico-air-force#boxscore
2015	11980	721	Air Force	11/01/2014	@ Army West Point	725	Army West Point	http://stats.ncaa.org/team/index/11980?org_id=725	false		false	W 23 - 6	true	23 - 6	23	6	false		air-force-army-west-point#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/01/air-force-army-west-point#boxscore
2015	11980	721	Air Force	11/08/2014	@ UNLV	465	UNLV	http://stats.ncaa.org/team/index/11980?org_id=465	false		false	W 48 - 21	true	48 - 21	48	21	false		air-force-unlv#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/08/air-force-unlv#boxscore
2015	11980	721	Air Force	11/15/2014	Nevada	466	Nevada	http://stats.ncaa.org/team/index/11980?org_id=466	false		true	W 45 - 38 (1OT)	true	45 - 38	45	38	true	1OT	nevada-air-force#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/15/nevada-air-force#boxscore
2015	11980	721	Air Force	11/21/2014	@ San Diego St.	626	San Diego St.	http://stats.ncaa.org/team/index/11980?org_id=626	false		false	L 14 - 30	false	14 - 30	14	30	false		air-force-san-diego-st#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/21/air-force-san-diego-st#boxscore
2015	11980	721	Air Force	11/28/2014	Colorado St.	156	Colorado St.	http://stats.ncaa.org/team/index/11980?org_id=156	false		true	W 27 - 24	true	27 - 24	27	24	false		colorado-st-air-force#boxscore	http://www.ncaa.com/game/football/fbs/2014/11/28/colorado-st-air-force#boxscore
