season	team_id	team_name	status	team_url	wins	losses	ties	win_percentage	points_for	points_against	net_points	touchdowns	home_record	road_record	division_record	division_win_percentage	conference_record	conference_win_percentage	nonconference_record	winning_streak	last_5_record
1938	NYG	New York Giants		http://www.nfl.com/teams/profile?team=NYG	8	2	1	.800	194	79	115	26	6-1	2-1-1	0-0	.000	5-2-1	.714	3-0	1W	4-0-1
1938	GB	Green Bay Packers		http://www.nfl.com/teams/profile?team=GB	8	3	0	.727	223	118	105	30	4-2	4-1	0-0	.000	6-2	.750	2-1	1L	4-1
1938	WAS	Washington Redskins		http://www.nfl.com/teams/profile?team=WAS	6	3	2	.667	148	154	-6	20	3-1-1	3-2-1	0-0	.000	4-2-2	.667	2-1	1L	2-2-1
1938	DET	Detroit Lions		http://www.nfl.com/teams/profile?team=DET	7	4	0	.636	119	108	11	14	4-3	3-1	0-0	.000	6-2	.750	1-2	1L	3-2
1938	CHI	Chicago Bears		http://www.nfl.com/teams/profile?team=CHI	6	5	0	.545	194	148	46	26	2-3	4-2	0-0	.000	3-5	.375	3-0	1L	2-3
1938		Brooklyn Dodgers			4	4	3	.500	131	161	-30	16	2-2-2	2-2-1	0-0	.000	3-2-3	.600	1-2	1T	2-1-2
1938	PHI	Philadelphia Eagles		http://www.nfl.com/teams/profile?team=PHI	5	6	0	.455	154	164	-10	22	2-3	3-3	0-0	.000	3-5	.375	2-1	2W	3-2
1938	STL	Cleveland Rams		http://www.nfl.com/teams/profile?team=STL	4	7	0	.364	131	215	-84	18	2-2	2-5	0-0	.000	3-5	.375	1-2	1W	1-4
1938	PIT	Pittsburgh Pirates		http://www.nfl.com/teams/profile?team=PIT	2	9	0	.182	79	169	-90	11	0-5	2-4	0-0	.000	2-6	.250	0-3	6L	0-5
1938	ARI	Chicago Cardinals		http://www.nfl.com/teams/profile?team=ARI	2	9	0	.182	111	168	-57	15	1-4	1-5	0-0	.000	2-6	.250	0-3	1W	1-4
